symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
NOD2	0.7694401214546637	0.938393697548218	0.8283875242775275	0.8944963727863395	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6738063492243891	0.13755176419601767	0.30287112337010963	1	0	0	1	1	0	0	No data	0.510418837257762	-0.8138788816324416	0	No data	No data	0	0.5	0
ITGA4	0.7162917989195441	0.7835262968462383	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9803861934020843	No data	No data	No data	No data	No data	No data	0.08900331079277773	No data	No data	1	1	0	1	1	0	0.24418500000000024	No data	-0.5308397582829756	-0.8844627469860006	0	No data	No data	0	0.75	0
IL12B	0.7104000166826915	0.8436078533361726	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9548537641749005	No data	No data	No data	No data	No data	No data	0.12592606757977853	No data	No data	1	0	1	0	0	0	0	No data	0.01083559074807261	-0.7719200804355791	0	No data	No data	No data	0.5	1
TNF	0.627462624572699	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9923998081673473	No data	No data	No data	No data	No data	No data	0.5887289695763964	0.013494346275827055	0.4555546318869283	1	1	1	1	1	1	0	0	-0.5138570535528235	-0.9827310106118933	0	-1	No data	0	0.5	0
IL10	0.6152244055552454	0.8442315677097479	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3172006548848787	No data	0.5318170174023161	0.5	0	1	0	0	0	0	No data	0.16045009376953523	-0.9605896874209293	0	-1	No data	0	0.5	0
NR3C1	0.6096175194680566	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9951977325884773	No data	No data	No data	No data	No data	No data	0.1515359357467353	No data	No data	1	0	0	1	1	1	0.5109400000000001	1	-0.7278599708272557	-0.9536043719349752	0	-1	No data	0	-1	-1
ITGB7	0.605726804774771	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9766119509967022	No data	No data	No data	No data	No data	No data	0.04255515583281347	No data	0.37633956026147397	1	1	0	1	0	0	0.3045099999999998	No data	-0.31944155032298394	0	0	No data	No data	0	0.5	0
JAK2	0.5949664560492237	0.8082333723435217	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6523789609029562	No data	No data	No data	No data	No data	No data	0.33059384924681434	No data	No data	1	1	0	1	1	1	0.6863950000000003	1	-0.7031673265263596	-0.8880652763329555	0	-1	-1	0	-1	-1
IL23R	0.5828090102771314	0.9457678004888632	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.25817533842270285	No data	No data	No data	1	0	0	1	0	0	No data	-0.3694519691602417	-0.25968950302935195	0	-1	No data	0	0.5	0.5
STAT3	0.5714247175596712	0.7787952053472575	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.41275645129219846	No data	No data	0.5	0	0	1	1	0	0.9935049999999996	1	-0.9820795999166493	-0.8662496394979585	0	-1	-1	0	-1	-1
