symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
NR3C1	0.6843113654964759	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9950356586836194	0.49839408043646427	No data	No data	No data	No data	No data	0.27027250039876877	No data	No data	1	0	0	1	1	1	0.5109400000000001	1	-0.7278599708272557	-0.9536043719349752	0	-1	No data	0	-1	-1
TNFRSF1A	0.6593323979875327	0.8687316831518122	No data	0.5592963338026914	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.13546479132140277	No data	No data	0.25	1	1	0	1	0	0	No data	-0.8435090643884142	-0.9392443232357308	0	-1	No data	0	-1	-1
IL2RA	0.6520736812198876	0.7775253401346158	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8688345460042132	No data	No data	No data	No data	No data	No data	0.4228114766246372	No data	No data	1	0	0	0	1	0	0	No data	-0.3085017712023338	-0.8958009979365766	0	No data	No data	No data	0.5	0
KEAP1	0.632385666452132	0.21819578318112978	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9840498092381379	No data	No data	No data	No data	No data	No data	0.07324412738291775	No data	No data	1	0	0	1	1	1	0.7035249999999997	1	-0.3488226713898729	-0.4213816122021724	0	No data	-1	0	0.5	-1
KCNH8	0.63203771336018	0.28966354321692367	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9672381600892619	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0	0	0	0.6115650000000002	No data	-0.30027088976870187	-0.6580287358954551	0	No data	No data	0	0.75	0.5
MS4A1	0.6217535498669284	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9879801799327996	No data	No data	No data	No data	No data	No data	0.695143958454549	No data	No data	1	1	0	0	0	0	0	No data	0.4158157949572827	-0.06622517707814995	0	No data	No data	0	1	0
IFNAR1	0.6065172670719399	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9898961758742805	No data	No data	No data	No data	No data	No data	0.15557347443404512	No data	No data	1	1	0	0	1	0	0	No data	0.3584080016670139	-0.9421125290407228	0	No data	No data	0	-1	-1
IFNAR2	0.6048508455193923	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9898961758742805	No data	No data	No data	No data	No data	No data	0.10075073608637765	No data	No data	1	1	1	0	0	0	0	No data	0.2597416128360075	-0.10364542472953958	0	No data	No data	0	-1	-1
S1PR1	0.6022354915186177	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.981159247633675	No data	No data	No data	No data	No data	No data	0.18944812611182885	No data	No data	1	0	0	1	1	0	0.7120399999999997	1	-0.43727859970827254	-0.9480497271383242	0	No data	No data	0	-1	-1
KCNA3	0.5954651921260953	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9672381600892619	No data	No data	No data	No data	No data	No data	0.245137308782761	No data	No data	1	1	0	1	1	0	0.4347850000000001	1	-0.6366951448218379	-0.2103275658845205	0	No data	No data	-0.17825999999999986	0.5	0.5
ITGA4	0.5912651774581913	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9654658303420234	No data	No data	No data	No data	No data	No data	0.1424097995563101	No data	No data	1	1	0	1	1	0	0.24418500000000024	No data	-0.5308397582829756	-0.8844627469860006	0	No data	No data	0	0.75	0
DHODH	0.5909549139047321	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9602450301685502	No data	No data	No data	No data	No data	No data	0.23661860330244788	No data	No data	1	0	0	1	1	1	0.3797449999999998	1	-0.1638883100645968	-0.6192584199503304	0	No data	No data	0	1	-1
KCNH7	0.5906933200899259	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9672381600892619	No data	No data	No data	No data	No data	No data	0.08814996565368505	No data	No data	1	1	0	0	0	0	0.7198999999999998	No data	-0.6703479891644093	No data	0	No data	No data	0	0.5	0.5
