symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
TREX1	0.7780833689580344	No data	No data	0.8644356322032691	0.7599134970145264	No data	0.607930797611621	0.9360722249447112	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03647584785669726	No data	0.6342219006578578	No data	0	0	0	0	0	0	No data	-0.26588872681808706	-0.9670844656822608	0	No data	No data	0	0.5	-1
DNASE1L3	0.7478584893590019	0.5704257095168096	No data	0.9111147259787612	0.7599134970145264	No data	0.607930797611621	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12901642482646625	No data	No data	No data	0	0	0	1	0	0.06557499999999976	No data	0.2622421337778704	-0.6605691823049644	0	No data	No data	0	0.75	0
TLR7	0.7171828236734081	No data	No data	0.7920966779614216	0.607930797611621	No data	0.607930797611621	0.8274613634158176	0.607930797611621	0.3039653988058105	No data	No data	No data	No data	0.5625296709586961	No data	No data	No data	No data	No data	No data	0.328394825648576	No data	0.5519775562520447	1	0	0	1	1	0	0.03718000000000003	0	-0.7500520941862888	-0.857167812864037	0	No data	No data	0	0.5	0
BLK	0.7040463633393326	0.8929667432203086	No data	0.814197187429467	No data	No data	No data	No data	No data	No data	No data	No data	0.5501773718385171	No data	No data	No data	No data	No data	No data	No data	No data	0.03647584785669726	No data	No data	1	0	0	1	1	0	0.3069299999999998	1	0.31266930610543864	0	0	No data	No data	-0.05940499999999993	0.75	0.5
IRF5	0.6788848262488459	0.9189934099912843	No data	0.4015720657556764	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.08950092298171088	No data	No data	No data	0	0	0	0	0	0.27043000000000034	No data	-0.3823713273598667	-0.632939079468739	0	No data	No data	0	-1	0
PTPN22	0.6548321679291246	0.8968239929499257	No data	0.19453785523571876	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1758997101989425	No data	0.4255988418346156	No data	1	0	1	1	0	0	No data	0.2202542196290893	-0.7777096794822363	0	No data	No data	0	0.5	0
STAT4	0.6304670892285303	0.8587868662940894	No data	0.19453785523571876	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03174749720860688	No data	0.3545300428971571	No data	0	0	0	1	0	0.7393050000000002	No data	-0.6938945613669514	-0.6979722743392575	0	No data	No data	0	0.5	-1
CTLA4	0.6114401066922417	0.4972377487887519	No data	0.7926201739260316	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.15029400274287297	No data	0.3774946287769361	1	1	0	0	0	0	0	No data	-0.7109814544696812	-0.7981138111948313	0	-1	No data	0	1	0
TNFSF4	0.6066859105778771	0.8368527048613705	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.03495602086266821	No data	0.3905955374654665	0.5	0	0	0	0	0	0	No data	0.7350489685351116	-0.8276856512144117	0	No data	No data	No data	-1	0
TNFSF13B	0.6042057736392669	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9723910056675716	No data	No data	No data	No data	No data	No data	0.4102000664650499	0.04372242422748837	No data	1	1	1	0	0	0	0	No data	-0.8344446759741613	0	0	No data	No data	0	0.5	0
BANK1	0.5915363978834907	0.8970411076233956	No data	0	No data	No data	0.3039653988058105	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	No data	-0.1021046051260679	0	0	No data	No data	0	0.75	0
NR3C1	0.5905020806865656	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9557072625762009	No data	No data	No data	No data	No data	No data	No data	No data	0.31247642997237324	1	0	0	1	1	1	0.5109400000000001	1	-0.7278599708272557	-0.9536043719349752	0	-1	No data	0	-1	-1
TYK2	0.5747061534436476	0.8981936563211574	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.18645577576640945	No data	No data	No data	No data	No data	No data	0.024317231904464845	No data	No data	1	0	0	1	1	0	0	1	-0.41800375078141283	-0.9015917315627877	0	No data	No data	0	-1	0
FCGR2A	0.5697216656022135	0.8617317102168998	No data	0.24317231904464845	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.19453785523571876	No data	0.548656470626633	No data	1	0	0	0	0	0	No data	0.49468639299854145	-0.9111105592264029	0	No data	No data	-0.6372250000000002	0.5	-1
NCF2	0.5565781944880449	0.8969972789466275	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.37063176555056493	No data	0	0	0	0	0	0.23004000000000033	No data	-0.20347989164409253	-0.7158847057458151	0	No data	No data	0	0.5	0
TNFAIP3	0.5559330209555364	0.9144676057532068	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.39873499999999995	No data	-0.8903938320483434	-0.8825640198650078	0	No data	-1	0	0.5	-1
FCGR2B	0.5506702705594418	0.7325632667367868	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.11212945822614345	No data	0.548656470626633	0.75	1	0	0	0	0	0	No data	-0.3412169201917066	-0.9111105592264029	0	No data	No data	-0.60484	1	-1
WDFY4	0.547485829293331	0.9005726168903428	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.06407000000000025	No data	-0.7503646593040216	0	0	No data	No data	0	0.5	0
RASGRP1	0.543654471494729	0.7310412615824322	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5060863463934043	No data	1	0	1	1	0	0.491845	No data	-0.7300479266513857	-0.6663769787781831	0	No data	No data	0	0.5	0
SLC15A4	0.5354586974623848	0.8807888982858616	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.31542499999999973	No data	0.10387580745988756	-0.22864165022634442	0	No data	No data	0	-1	-1
IFNAR1	0.5340411409106635	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8775452292013284	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data	1	1	0	0	1	0	0	No data	0.3584080016670139	-0.9421125290407228	0	No data	No data	0	-1	-1
ATRIP	0.5260714131512664	No data	No data	0.8644356322032691	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data	No data	0	0	1	1	0	0	No data	-0.3371535736611794	-0.6464229792484466	-1	No data	No data	No data	0.5	-1
ARID5B	0.5100503316580123	0.838994065873695	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0.402355	No data	-0.9734319649927068	-0.8666773335478478	0	-1	No data	0	0.5	-1
CR2	0.5076980694108422	No data	No data	0.613518419135544	0.607930797611621	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.16606305215425443	No data	No data	No data	1	0	0	0	0	0	No data	-0.03802875599083144	-0.7561859107988724	0	No data	No data	0	1	0.5
TNIP1	0.5071613780655644	0.8121304791454863	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	0.4368257194046753	No data	0	0	0	0	0	0.1666649999999997	No data	-0.6339862471348198	-0.9466962742291531	0	No data	No data	0	-1	-1
