symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
IL12B	0.6407701041184275	0.8393223152247801	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7986305727394593	No data	No data	No data	No data	No data	No data	0.6767193241642059	No data	No data	1	0	1	0	0	0	0	No data	0.01083559074807261	-0.7719200804355791	0	No data	No data	No data	0.5	1
TNF	0.6376663750125493	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9891986736255872	No data	No data	No data	No data	No data	No data	0.9856395697001841	0.024694282812137466	0.4555546318869283	1	1	1	1	1	1	0	0	-0.5138570535528235	-0.9827310106118933	0	-1	No data	0	0.5	0
PPARG	0.6313702210401684	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9938851504110182	No data	No data	No data	No data	No data	No data	0.8270943773999925	0.14922910938682024	No data	1	0	0	1	1	1	0.9157899999999998	1	-0.34007084809335275	-0.9812695652514999	0	-1	-1	0	0.5	0
JAK2	0.6254314027282653	0.8208638763952024	No data	No data	No data	No data	No data	No data	No data	No data	0.3039653988058105	No data	No data	No data	0.6677844796953136	No data	No data	No data	No data	No data	No data	0.5476399659892236	0.044717180888602215	No data	1	1	0	1	1	1	0.6863950000000003	1	-0.7031673265263596	-0.8880652763329555	0	-1	-1	0	-1	-1
PTGS2	0.6250184434812145	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9939719524085774	No data	No data	No data	No data	No data	No data	0.49593272513517683	0.21583880380939804	0.2988587801058729	1	0	0	1	1	0	0.3377499999999998	0	-0.8072515107314024	-0.9747515556027039	0	-1	No data	-0.027317500000000015	0.5	0
NR3C1	0.6182720106116167	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9955293336096523	No data	No data	No data	No data	No data	No data	0.42429005927602453	0.012000310702214741	No data	1	0	0	1	1	1	0.5109400000000001	1	-0.7278599708272557	-0.9536043719349752	0	-1	No data	0	-1	-1
PTGS1	0.614345311773969	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9939719524085774	No data	No data	No data	No data	No data	No data	0.32774731528341433	0.008643174766086505	No data	1	0	0	1	1	0	0.4741250000000001	1	-0.15784538445509477	-0.9397369417042986	0	-1	No data	-0.040067499999999964	0.5	0
ALOX5	0.6099502303027233	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9939396708685854	No data	No data	No data	No data	No data	No data	0.15741941762670295	0.06800272583195965	No data	1	0	0	1	1	0	0.6735900000000001	0	-0.33892477599499893	-0.282523607471685	0	No data	No data	0	0.5	0
ITGB7	0.6038934825479906	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9740015623418995	No data	No data	No data	No data	No data	No data	0.024317231904464845	No data	0.37633956026147397	1	1	0	1	0	0	0.3045099999999998	No data	-0.31944155032298394	0	0	No data	No data	0	0.5	0
IL23R	0.5996843867171242	0.941634051957885	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8818895671201606	0.031803747309783435	No data	No data	1	0	0	1	0	0	No data	-0.3694519691602417	-0.25968950302935195	0	-1	No data	0	0.5	0.5
ITGA4	0.5980335752971152	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9715144832100981	No data	No data	No data	No data	No data	No data	0.24037211726496555	0.008402928573624254	No data	1	1	0	1	1	0	0.24418500000000024	No data	-0.5308397582829756	-0.8844627469860006	0	No data	No data	0	0.75	0
FCGR2A	0.5917696601942555	0.9341378938218793	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7197373703772395	0.1481127197842894	No data	No data	1	0	0	0	0	0	No data	0.49468639299854145	-0.9111105592264029	0	No data	No data	-0.6372250000000002	0.5	-1
S1PR1	0.5557630950993242	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8959089906739313	No data	No data	No data	No data	No data	No data	0.33965463595649653	0.05833656679405228	No data	1	0	0	1	1	0	0.7120399999999997	1	-0.43727859970827254	-0.9480497271383242	0	No data	No data	0	-1	-1
GPR35	0.555665351538293	0.8889566562985999	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3244341039471493	No data	0.35722013667658853	No data	1	0	1	1	0	0	1	0.6208585121900396	-0.5916851843148718	0	No data	No data	0	0.5	0
IL23A	0.5450559476519674	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8498864925765087	No data	No data	No data	No data	No data	No data	0.7029634376332418	0.2108376747386041	0.40074798178558063	1	0	1	0	0	0	0	No data	-0.24453011043967499	-0.7944718512949752	0	No data	No data	No data	1	0.5
IL10	0.5441110962065736	0.8384338854003053	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8899426099855304	0.02178122997779743	0.5318170174023161	0.5	0	1	0	0	0	0	No data	0.16045009376953523	-0.9605896874209293	0	-1	No data	0	0.5	0
MST1	0.5384654132161202	0.8583290411162442	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.42550063841355124	No data	0.27587899595615367	No data	0	1	No data	No data	No data	0	No data	0.15242758908105847	-0.37488308494159406	0	No data	No data	0	1	-1
TNFSF15	0.5344655178069186	0.8613680934262131	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.3386664839006149	0.038419899596444644	No data	No data	0	1	0	0	0	0	No data	0.0528235048968535	0	0	No data	No data	0	0.5	0
SMAD3	0.5208616140294161	0.8481028646449968	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1734987959090578	No data	No data	No data	0	0	1	1	0	1	No data	-0.6261721191914982	-0.8764094778318732	0	No data	-1	-0.7941175000000001	-1	-1
DLD	0.516802226642119	0.8460437488786589	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.08113343103125094	No data	No data	No data	0	0	0	0	1	0.7445950000000003	No data	-0.43967493227755783	-0.39321856926097687	0	No data	No data	0	0.5	-1
ADCY7	0.5145899523668273	0.8428021604395904	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07318473585247898	No data	No data	No data	1	0	0	1	0	0.18981500000000012	No data	-0.43133986247134815	0	0	No data	No data	0	0.5	0
NKX2-3	0.5120604330430715	0.8199521470116501	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4469676601446834	No data	No data	No data	0	0	0	0	0	0.49176000000000003	No data	-0.73379870806418	-0.7763080393205964	0	No data	No data	0	0.75	0.5
IRF5	0.5080319013608949	0.8265932198533952	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.18161362894429392	No data	No data	No data	0	0	0	0	0	0.27043000000000034	No data	-0.3823713273598667	-0.632939079468739	0	No data	No data	0	-1	0
S1PR5	0.5074296651002307	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8267088016078079	No data	No data	No data	No data	No data	No data	0.0435314838022519	0.14014200933919896	No data	1	1	0	1	1	0	0.2462299999999999	No data	0.15451135653261105	0	0	No data	No data	0	0.5	0
S1PR4	0.5066188877610587	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8267088016078079	No data	No data	No data	No data	No data	No data	0.13281599231153887	No data	No data	1	0	0	1	1	0	0.10155999999999991	1	0.44675974161283594	0	0	No data	No data	0	0.5	0
