symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
IL6R	0.7433518090345101	0.8843312265312792	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9928680965423373	No data	No data	No data	No data	No data	No data	0.39628699551246915	No data	No data	1	1	1	0	0	0	0	No data	-0.1219003959158158	-0.8534203391896111	0	-1	No data	0	0.5	-1
TYK2	0.737463478393191	0.950027790602899	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9691194615623101	No data	No data	No data	No data	No data	No data	0.2900256684487692	No data	No data	1	0	0	1	1	0	0	1	-0.41800375078141283	-0.9015917315627877	0	No data	No data	0	-1	0
TNF	0.7162018617909068	No data	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	0.9982217696611287	No data	No data	No data	No data	No data	No data	0.9787752365947595	0.017449329563606883	0.48024437627452465	1	1	1	1	1	1	0	0	-0.5138570535528235	-0.9827310106118933	0	-1	No data	0	0.5	0
JAK2	0.7032674002664581	0.655227995696411	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9836044681126818	No data	No data	No data	No data	No data	No data	0.11223048346099435	No data	0.3603205837444078	1	1	0	1	1	1	0.6863950000000003	1	-0.7031673265263596	-0.8880652763329555	0	-1	-1	0	-1	-1
PTPN22	0.6923018394305775	0.9520073860962113	No data	0.24317231904464845	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4334319249172637	No data	0.2946032645225916	No data	1	0	1	1	0	0	No data	0.2202542196290893	-0.7777096794822363	0	No data	No data	0	0.5	0
JAK1	0.6907903140360189	0.5754253986941157	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.983625055432432	No data	No data	No data	No data	No data	No data	0.24586304245146812	No data	0.2584313820647001	1	0	0	1	1	0	0.7400350000000003	1	-0.8714315482392165	-0.9404746140460091	0	No data	-1	0	-1	-1
PADI4	0.6832104604277085	0.8837115758818748	No data	0.8007968431539079	No data	No data	0.3039653988058105	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.39504285296850755	0.15082169763292783	No data	No data	0	0	1	1	1	0	1	0.2766201291935819	-0.8912229285937756	0	No data	No data	0	0.75	0.5
IL12B	0.6652195691452962	0.8094274713883597	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.8831302391709804	No data	No data	No data	No data	No data	No data	0.39368574183181704	No data	No data	1	0	1	0	0	0	0	No data	0.01083559074807261	-0.7719200804355791	0	No data	No data	No data	0.5	1
STAT4	0.6601004268565717	0.931564185700278	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.10206871213473713	No data	No data	No data	0	0	0	1	0	0.7393050000000002	No data	-0.6938945613669514	-0.6979722743392575	0	No data	No data	0	0.5	-1
IRF5	0.6432246000514452	0.9038138247775147	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.10165953893394329	No data	No data	No data	0	0	0	0	0	0.27043000000000034	No data	-0.3823713273598667	-0.632939079468739	0	No data	No data	0	-1	0
