"","GSM2577895","GSM2577932","GSM2577976","GSM2577988","GSM2578061","GSM2578072","GSM2578181","GSM2578228","GSM2578242","GSM2578442","GSM2578450","GSM2578593","GSM2578614","GSM2578635","GSM2578710","GSM2578752"
"A1BG",5.093235732,5.090187005,5.550638341,5.187017084,5.029575525,4.962323429,5.447728822,4.933197842,5.875065248,4.747908263,4.647782103,5.443432004,5.188758606,5.453432861,5.15142618,4.766831614
"A26C3",5.023224229,4.635590095,4.942684725,4.545217711,4.409146264,4.419800137,4.647420817,4.732945171,4.953264719,4.679222404,4.494824328,4.774804065,5.156771758,4.601485378,4.805824494,4.750726696
"A2LD1",6.669240006,6.576634029,7.201569764,6.514270267,6.277418152,6.497119632,6.328150537,6.007325094,6.339586863,5.68105012,6.277970231,6.162984086,6.896498552,7.103578462,6.300167448,6.225393888
"A4GNT",4.479520097,4.505708536,4.600869806,5.064963164,4.724880879,4.935770752,4.726463956,4.892539403,4.766651905,4.727964082,5.925220788,4.615720896,5.082781681,4.796453256,4.634991156,4.73882056
"AAAS",5.481703293,5.712541302,5.927843638,5.854972548,5.771451361,6.052403819,5.807821067,5.687643725,5.875309902,4.995125755,5.063419129,4.888303304,5.687643725,5.503639125,6.043495025,5.523325618
"AACS",5.435769792,5.645727925,5.482185913,5.010389884,5.080276089,5.836759527,5.278570642,5.670848592,5.387220384,4.910352168,5.421540959,5.533702776,5.600657518,5.638180802,6.037371344,5.177155988
"AACSL",5.064234685,5.112773428,5.078072708,5.056627082,4.624823335,5.158594707,5.593043815,5.391035267,4.598310785,5.124858489,4.83456016,4.946750988,5.713991777,5.718551107,4.88454705,4.9460069
"AADACL1",7.558916871,7.653650203,7.268208162,6.96566201,7.30187777,7.435277756,7.663778392,6.750033787,7.096202382,7.412165859,7.237110733,7.011321261,7.071259512,6.930749932,6.995948935,6.837828304
"AADAT",5.062401904,5.38329911,4.997944087,4.627174397,5.390047477,4.704436283,4.594316674,5.034736652,4.602984973,4.642659674,4.699031582,5.038561419,5.068195301,4.61409682,4.580818023,5.209471546
"AAGAB",8.181912941,8.15649028,7.647795309,8.091688163,7.785544419,8.396069952,7.944667012,8.267228261,8.103071812,8.1368515,8.266823183,8.277344489,8.408113227,8.479190593,8.202121495,8.015422894
"AAK1",5.449444463,6.612138084,7.047391421,6.496207217,7.232667958,6.351365289,5.878332025,7.574409282,6.022404194,5.087548068,7.403739754,7.113079301,7.550622919,7.468430147,5.480732779,7.471340801
"AAMP",6.920244473,6.692766174,7.028637092,6.607801254,7.047740001,7.265827317,7.476016762,6.151701525,7.104889838,6.896179282,6.671130581,6.968683036,6.893596882,6.499233721,6.68775126,6.578477515
"AARS",9.786086221,9.507489263,10.22508612,10.29731577,10.28279959,10.20705697,9.355932934,10.18325286,9.671360763,9.668886193,9.69515222,10.04488089,9.842735954,10.15831535,9.823885042,9.926451503
"AARS2",6.626955165,6.787153661,7.266883013,6.950987008,7.12327047,6.497438898,6.392860642,7.302049018,6.667073989,6.530513757,7.075719614,6.994606337,6.858128373,7.305244519,6.947688806,7.357496231
"AARSD1",7.675886742,7.006225778,8.245178058,7.471686396,7.405219244,7.469160147,7.646309791,8.089353741,7.60099825,7.672525856,7.516917367,7.499788067,7.93205993,7.889439938,7.651140687,7.429302002
"AASDH",6.665800961,6.584019179,7.135890433,7.236853638,7.455835146,7.055432164,6.934412144,7.600603125,6.901763972,7.027977731,6.812742247,6.886435397,7.123959341,6.720884805,7.132106424,7.264814454
"AASDHPPT",7.310918898,6.989877759,7.627939041,7.742240101,7.890218191,7.058650233,6.837876219,7.42606103,6.764248509,7.321942941,7.191540853,7.3827622,6.938731622,7.177370494,7.026654746,7.220103469
"AASS",4.707971049,4.885491312,4.831326518,4.574438369,4.972110281,4.878061603,4.825632144,5.131505042,4.803365603,4.905650055,4.906576729,4.923912623,4.770883897,4.868721895,5.090660086,4.74757781
"AATF",8.847096312,8.729141078,8.729581529,8.620056174,8.065856411,8.813128585,8.437596704,8.951070242,8.424263812,8.893950843,8.344974932,8.354037978,8.613053473,8.718354075,8.85503946,8.343751186
"AATK",5.669017948,5.439695979,6.035066815,5.451413612,5.833732524,5.635839559,5.914123989,5.795761934,6.047841297,5.752656293,5.642772591,5.849221429,5.721949156,5.372578021,5.788913034,5.787502958
"ABAT",5.200781913,6.070084053,5.285481008,5.343024469,5.636030168,5.833164031,5.925212973,5.778195084,4.675699384,5.823652211,5.276495534,5.650371607,5.178947575,4.934133373,5.826987534,5.744723756
"ABCA1",9.146821267,8.917857542,8.951547331,8.29468992,9.033134944,9.241807906,9.105937919,7.855728419,9.38424569,8.54954001,9.106952076,8.991306696,8.347839978,8.705453906,9.191653252,9.07209899
"ABCA10",4.830422047,4.712989605,4.517566432,4.710536316,4.615153625,4.576635281,4.589129852,4.652096686,4.510385632,4.996739036,4.642631197,4.709178343,4.796558292,4.601396919,5.055252974,4.707369268
"ABCA11",4.415633019,5.187306517,5.133319947,4.759590464,4.622902026,4.904711461,4.682006748,4.930087211,5.131518056,4.574063203,4.534901228,4.534678154,4.465074951,4.63458118,4.697701049,4.740846199
