"","direction","MS","RA","SLE","UC","CD","psoriasis"
"ERAP2","UP",0.00221747912810821,0.056906592328564,0,0.0158715715166732,0.282650531803508,0.056906592328564
"HLA-DPB1","UP",0.0166550737503742,0.0112268308703422,0,0.0269237518076464,0.016774405305615,0.0112268308703422
"WDR46","UP",0,0,0,0.00221747912810821,0,0
"TNNT1","UP",0,0,0,0,0,0
"PBX2","UP",0.279632081405619,0,0,0,0,0
"ATF6B","DOWN",0,0.00147831941873881,0,0,0,0.00147831941873881
"VPS52","DOWN",0,0,0,0,0,0
"GIMAP1-GIMAP5","UP",0,0,0.0317173431290411,0,0,0
"LENG8","DOWN",0,0,0,0,0.00112448297334704,0
"HLA-DMA","DOWN",0.00739159709369404,0.0112660183525431,0.052180979682933,0.0289090811168011,0.0200113209786691,0.0112660183525431
"HLA-B","DOWN",0.00727352206340813,0.0553913012567543,0.063818110314328,0.0206302987660473,0.0195065771212018,0.0553913012567543
"TJP2","UP",0.31941739040786,0,0.0406628238525458,0.00947828601767216,0,0
"EHMT2","DOWN",0.00369579854684702,0,0,0,0,0
"CES1","DOWN",0,0,0,0.00443495825621642,0.00258705898279291,0
"HLA-DRB1","UP",0.401756795716568,0.39175960452995,0.0744703407189674,0.0810824021194573,0.0261585950085685,0.39175960452995
"HLA-DRA","UP",0.0113235868389715,0.00905016014317437,0,0.025256967310091,0.0272202698822153,0.00905016014317437
"DDX24","DOWN",0,0,0,0.00147831941873881,0,0
"FCGR3B","UP",0.0264158793441855,0.303768660619256,0.017370253170181,0.0470409275577177,0.0593184121595962,0.303768660619256
"RXRB","DOWN",0.00369579854684702,0,0,0,0,0
"F8A3","UP",0,0,0,0,0,0
"F8A2","UP",0,0,0,0,0,0
"UACA","UP",0,0,0.0280880689560373,0,0,0
