"","direction","MS","RA","SLE","UC","CD","psoriasis"
"MTMR9","UP",0.421124335541908,0,0,0,0,0
"WDR81","UP",0,0,0,0,0,0
"CLDN5","DOWN",0.0265437465150497,0,0,0.0162693158475036,0.00970913745994537,0
"ZC3H6","UP",0,0,0,0,0,0
"CEP295","UP",0,0,0,0,0,0
"LILRA6","DOWN",0,0,0,0.0197774058801234,0.117164028821534,0
"HLA-DMA","DOWN",0.00739159709369404,0.0112660183525431,0.052180979682933,0.0289090811168011,0.0200113209786691,0.0112660183525431
"CRAMP1","UP",0,0,0,0,0,0
"TRGC1","UP",0.0216949534364165,0.00295663883747761,0.00665243738432463,0.0343377107896195,0.00739159709369404,0.00295663883747761
"DCXR","DOWN",0,0,0,0,0,0
"ACRBP","DOWN",0,0,0,0,0,0
"TAL1","DOWN",0.200684637920413,0.00443495825621642,0,0.00221747912810821,0,0.00443495825621642
"DNLZ","DOWN",0,0.25885872732105,0,0.102155183769768,0.100488208483474,0.25885872732105
"LRRC37A","UP",0,0,0,0,0,0
"SMOX","DOWN",0.00369579854684702,0,0,0.016964415002718,0.00145725952905869,0
"EVA1B","DOWN",0.00233117409251263,0,0,0,0,0
"FBXL15","DOWN",0,0,0,0,0,0
"CCDC85B","DOWN",0,0,0,0,0.00291666520287394,0
"BOD1L1","UP",0,0.0425269420979412,0,0,0,0.0425269420979412
"ANTKMT","DOWN",0,0,0,0,0,0
"LTB","DOWN",0.0380205275506887,0.111651872101721,0,0.00984337063438317,0.00318098551555585,0.111651872101721
"CHD1","UP",0,0,0,0.0998601280999457,0.00214269902732855,0
"GOLGA4","UP",0.0116417654225681,0,0,0.00739159709369404,0.00147831941873881,0
"TMUB1","DOWN",0,0,0,0,0,0
"GNG11","DOWN",0.00197465069413566,0.0111040906893922,0,0.0365309936109367,0.00258705898279291,0.0111040906893922
"GPX1","DOWN",0.303294134448472,0.0491204259632975,0.0491204259632975,0.269576178180311,0.261359602802328,0.0491204259632975
"SLC12A7","DOWN",0.00369579854684702,0,0,0,0,0
"MYOF","UP",0,0,0,0.00273846779117715,0,0
"RPL9","DOWN",0,0,0,0,0,0
"MYZAP","DOWN",0,0,0,0,0,0
"TMEM160","DOWN",0.00164843701516586,0,0,0,0,0
"GP1BB","DOWN",0,0,0,0,0,0
"LILRB2","UP",0.00644711524283313,0.0539388045817056,0.00369579854684702,0.0191697670375781,0.029655318462693,0.0539388045817056
"XYLT1","UP",0,0,0,0.00177462567253951,0,0
"NRGN","DOWN",0.00912661317212817,0.00530196814703027,0,0,0,0.00530196814703027
"ISG15","DOWN",0.0097937318385193,0.00369579854684702,0.0209982734611577,0.0196960370909637,0.00805621743822101,0.00369579854684702
"UTRN","UP",0.0111619275779025,0.00219081081401964,0,0.0067064371075369,0,0.00219081081401964
"CITED4","DOWN",0,0,0,0,0,0
"CRIP1","DOWN",0.020905930645924,0,0,0.207704212636128,0.0139442479172538,0
"SEPT5-GP1BB","DOWN",0,0,0,0,0,0
"TPGS1","DOWN",0,0,0,0,0,0
"LRFN4","DOWN",0,0,0,0.00826331357940614,0.010921512659554,0
"GP9","DOWN",0.00278279447211318,0,0,0.00369579854684702,0.00734564141563427,0
"PTCRA","DOWN",0.00194796641297913,0,0,0,0,0
"ITCH","UP",0.00739159709369404,0,0,0.0147831941873881,0.00147831941873881,0
"TMEM40","DOWN",0.00274120668733773,0,0,0,0,0
"ANKRD9","DOWN",0,0,0,0.00868842981477802,0,0
"PLD4","DOWN",0.00739159709369404,0.483009526871223,0.329695162077282,0.00254446110762865,0,0.483009526871223
"MIF","DOWN",0.0245608313991711,0.444084575273571,0.0606110961682911,0.0659991807281257,0.025846488279408,0.444084575273571
"TMEM238","DOWN",0,0,0,0,0.0132669737279238,0
"MMD","DOWN",0,0.0385176124552396,0,0,0.00739159709369404,0.0385176124552396
"TAGLN2","DOWN",0,0,0,0,0,0
"ZNF234","UP",0,0,0,0,0,0
"RPL13","DOWN",0,0,0,0,0,0
"FAM174C","DOWN",0,0,0,0,0,0
"ELP5","DOWN",0,0,0,0,0,0
"PBXIP1","DOWN",0,0,0,0.00147831941873881,0,0
"MACF1","UP",0,0,0,0.0376971451778396,0.00147831941873881,0
"RNASEH2C","DOWN",0,0,0.0223590315349138,0,0.198788282545432,0
"GAS2L1","DOWN",0,0,0,0,0,0
"LILRB3","UP",0,0,0,0.0175195055901941,0.365658082468414,0
"GTF2H2C_2","UP",0,0,0,0,0,0
"BCL7C","DOWN",0,0.0316661501349861,0,0.0316661501349861,0.0316661501349861,0.0316661501349861
"MYO19","UP",0.0206998804484839,0,0,0,0,0
"BBLN","DOWN",0.00192772124474871,0,0,0,0,0
"FUT7","DOWN",0.00132713084637734,0,0,0.0147283039510338,0.00221747912810821,0
"ATG2B","UP",0,0,0,0,0.00801782962524311,0
"CFD","DOWN",0.0137015571460108,0.00864604915875718,0,0,0.001927057536793,0.00864604915875718
"USP40","UP",0,0,0,0.00293610662332846,0,0
"CLU","DOWN",0.0136128234450105,0.0309009822944709,0,0.0292526666386913,0.0100100269968461,0.0309009822944709
"TMF1","UP",0,0,0,0,0,0
"SCAND1","DOWN",0.00128923174195586,0,0,0,0,0
"FAU","DOWN",0.00267838194668019,0,0,0,0,0
"ZNF524","DOWN",0.00140394982609963,0,0,0,0,0
"TUBA8","DOWN",0,0.0140440344780187,0.00585662664058735,0,0,0.0140440344780187
"RPS9","DOWN",0,0,0,0,0.245016242878847,0
"FAN1","UP",0,0,0,0,0,0
"MAP3K7CL","DOWN",0,0.00462071999113402,0,0,0,0.00462071999113402
"TXN2","DOWN",0.00295663883747761,0,0,0,0,0
"CD82","DOWN",0.00739159709369404,0,0,0.0214004650409778,0.00352337479691095,0
"ATP5F1D","DOWN",0,0,0,0,0.0102669952323763,0
"DGCR6L","DOWN",0,0,0,0,0,0
"AMDHD2","DOWN",0,0,0,0,0,0
"RPL28","DOWN",0,0,0,0,0,0
"TRIR","DOWN",0,0,0,0,0,0
"MZT2A","DOWN",0,0,0,0,0,0
"TAX1BP3","DOWN",0.00147831941873881,0,0,0,0,0
"CD2BP2","DOWN",0,0,0,0.146362264714797,0,0
