"","ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diffexpres.modsed","SYMBOL","GENENAME","ENTREZID","delabel"
"9529","ENSG00000183666",157.684947917178,1.90928303118243,0.350481076953648,5.447606609115,5.10521162218366e-08,0.000661941738932333,"UP",NA,NA,NA,NA
"1","ENSG00000000003",85.9754967574598,0.0039749340131449,0.0753893688129738,0.0527253918653429,0.957950707377663,0.999437373052416,"NO","TSPAN6","tetraspanin 6","7105","TSPAN6"
"2","ENSG00000000419",461.022035701167,-0.0391881241383669,0.0862073651838208,-0.454579768849282,0.649411592268806,0.999437373052416,"NO","DPM1","dolichyl-phosphate mannosyltransferase subunit 1, catalytic","8813","DPM1"
"3","ENSG00000000457",223.916614591646,-0.0650590653765708,0.0550802571893605,-1.18116851112195,0.237535787742314,0.999437373052416,"NO","SCYL3","SCY1 like pseudokinase 3","57147","SCYL3"
"4","ENSG00000000460",54.2904544544892,-0.124414192274595,0.0974997175357834,-1.27604669448333,0.201939013211642,0.999437373052416,"NO","FIRRM","FIGNL1 interacting regulator of recombination and mitosis","55732","FIRRM"
"5","ENSG00000000938",21.6083855770217,-0.391396022848153,0.271943336989568,-1.43925579196363,0.150078063195056,0.999437373052416,"NO","FGR","FGR proto-oncogene, Src family tyrosine kinase","2268","FGR"
"6","ENSG00000000971",298.264807725023,0.0429221128747935,0.132475335116514,0.324000787294049,0.745937438182225,0.999437373052416,"NO","CFH","complement factor H","3075","CFH"
"7","ENSG00000001036",107.416250942184,0.0352249906348243,0.0949063070866106,0.371155423871654,0.710521772141976,0.999437373052416,"NO","FUCA2","alpha-L-fucosidase 2","2519","FUCA2"
"8","ENSG00000001084",228.856392506482,-0.0068250649823458,0.0671510850296824,-0.101637449034948,0.919044453321893,0.999437373052416,"NO","GCLC","glutamate-cysteine ligase catalytic subunit","2729","GCLC"
"9","ENSG00000001167",197.932337026978,-0.132660556230271,0.102843529109985,-1.28992613709705,0.197076304853152,0.999437373052416,"NO","NFYA","nuclear transcription factor Y subunit alpha","4800","NFYA"
"10","ENSG00000001461",270.178777002535,0.112494229413916,0.098668016277921,1.1401286217922,0.254232719211599,0.999437373052416,"NO","NIPAL3","NIPA like domain containing 3","57185","NIPAL3"
"11","ENSG00000001497",173.312660602421,-0.103923153045141,0.079996696192322,-1.29909306248469,0.193911993654567,0.999437373052416,"NO","LAS1L","LAS1 like ribosome biogenesis factor","81887","LAS1L"
"12","ENSG00000001561",1101.0828494229,0.087200806196272,0.0793512094918981,1.09892220615963,0.27180199975312,0.999437373052416,"NO","ENPP4","ectonucleotide pyrophosphatase/phosphodiesterase 4","22875","ENPP4"
"13","ENSG00000001617",124.171946855898,-0.213404355771949,0.163361818020614,-1.30632946154542,0.191440542308621,0.999437373052416,"NO","SEMA3F","semaphorin 3F","6405","SEMA3F"
"14","ENSG00000001629",525.52226678974,0.00811116637591015,0.0777840662341061,0.104277993792431,0.916948741102512,0.999437373052416,"NO","ANKIB1","ankyrin repeat and IBR domain containing 1","54467","ANKIB1"
"15","ENSG00000001630",169.261715536347,0.0658526156873728,0.135762894314544,0.48505606793268,0.627636574172346,0.999437373052416,"NO","CYP51A1","cytochrome P450 family 51 subfamily A member 1","1595","CYP51A1"
"16","ENSG00000001631",541.278894159733,0.00194524664417566,0.0568406306164087,0.0342228195408886,0.972699469834929,0.999437373052416,"NO","KRIT1","KRIT1 ankyrin repeat containing","889","KRIT1"
"17","ENSG00000002016",141.56654055694,0.0855648041627995,0.111477343135995,0.767553314025577,0.442752607681081,0.999437373052416,"NO","RAD52","RAD52 homolog, DNA repair protein","5893","RAD52"
"18","ENSG00000002330",263.276439503094,0.0224895210629965,0.0701327620224463,0.320670688198457,0.748459962544962,0.999437373052416,"NO","BAD","BCL2 associated agonist of cell death","572","BAD"
"19","ENSG00000002549",900.015830546728,0.147173269722407,0.0793223787299932,1.85538144567464,0.0635417750555865,0.999437373052416,"NO","LAP3","leucine aminopeptidase 3","51056","LAP3"
"20","ENSG00000002586",1038.15106830435,0.092976036775898,0.0738626799329118,1.25876879718346,0.2081138537829,0.999437373052416,"NO","CD99","CD99 molecule (Xg blood group)","4267",NA
"21","ENSG00000002746",39.9723433008892,-0.546742532431409,0.261323606593844,-2.09220490853385,0.0364201896029538,0.999437373052416,"NO","HECW1","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1","23072",NA
"22","ENSG00000002822",277.44574272462,-0.00357831749825942,0.0906562960949423,-0.0394712518864871,0.968514673319851,0.999437373052416,"NO","MAD1L1","mitotic arrest deficient 1 like 1","8379",NA
"23","ENSG00000002834",371.884614782011,0.00194091197779862,0.078751292057262,0.0246460969349854,0.980337250415979,0.999437373052416,"NO","LASP1","LIM and SH3 protein 1","3927",NA
"24","ENSG00000002919",181.0044719238,0.0406347789906234,0.0692401506400566,0.586867281699926,0.557292845268712,0.999437373052416,"NO","SNX11","sorting nexin 11","29916",NA
"25","ENSG00000003056",380.282031373342,0.0728436874268739,0.0479103881733558,1.52041530457447,0.128406630381969,0.999437373052416,"NO","M6PR","mannose-6-phosphate receptor, cation dependent","4074",NA
"26","ENSG00000003096",99.1889842260856,-0.125551318119155,0.0940928839352606,-1.33433382917181,0.182094475511778,0.999437373052416,"NO","KLHL13","kelch like family member 13","90293",NA
"27","ENSG00000003137",64.8799210464519,-1.543336984861,0.495564517878318,-3.11430082094771,0.00184381398478458,0.999437373052416,"NO","CYP26B1","cytochrome P450 family 26 subfamily B member 1","56603",NA
"28","ENSG00000003249",678.361948807754,-0.0878937649075298,0.153737700641073,-0.571712498242268,0.567516765778802,0.999437373052416,"NO","DBNDD1","dysbindin domain containing 1","79007",NA
"29","ENSG00000003393",884.246744127831,-0.0787402255966677,0.0562459364736601,-1.39992736423798,0.161535070710622,0.999437373052416,"NO","ALS2","alsin Rho guanine nucleotide exchange factor ALS2","57679",NA
