"","RS04","RS26","RS37","RS06","RS07","RS12","RS13","RS36","RS20","RS11"
"ENSG00000000003",21.2838571538985,8.34817248788899,12.1367660015782,24.3084307204093,23.27502122852,22.5453816048022,9.40779605906537,3.91110749293972,20.1731951689669,4.79528642067209
"ENSG00000000419",792.152863783543,557.007071300227,452.536827633595,439.139732726011,509.935542806682,581.106930278629,455.381375162364,450.35657858457,575.279263332475,630.568704576473
"ENSG00000000457",347.425834105397,403.477886107822,413.393814724648,390.075958163107,432.694235622024,500.200103846019,439.028493764891,446.938985382191,477.54273596914,392.076394514434
"ENSG00000000460",65.2560043030699,56.5790571547918,123.410659680356,45.7495056719279,85.4002344436931,80.7226896689083,107.900386447515,157.217300843677,150.201586100054,77.5523556571864
"ENSG00000000938",7630.61622610804,12274.7561723778,12379.1643957272,13312.5518751885,9319.41099869155,8819.72699338875,10052.0807446279,11893.516302486,7826.99719198699,10293.4773069542
"ENSG00000000971",46.7120921074167,69.7947290455438,62.5354003850974,46.1784272714106,146.393432960266,53.0771599149087,40.1192599740149,127.499765959986,163.538653412736,97.5908548041911
"ENSG00000001036",930.570900423566,986.941582252591,896.833350953036,812.156762730331,749.651071920101,595.326329215358,815.89957918957,836.288049369876,780.175161959984,924.033778701515
"ENSG00000001084",653.298813935743,978.889591900454,988.994521811876,804.483449987343,730.51263986478,685.82106185483,1182.7943210392,1031.63000586524,933.241871952553,969.45689961906
"ENSG00000001167",368.080308932884,988.666542955815,926.412534024099,1032.62100069972,992.334167703792,1169.23980601661,1253.39899472229,1015.15700772602,1037.06883163711,972.974498476281
"ENSG00000001460",57.8284924126602,52.8381519763289,68.2194018950884,70.443833267648,72.5002876448927,69.2623692796084,82.9492970309212,46.3210791968127,77.4933461464366,70.8516145402383
"ENSG00000001461",1120.53492738826,813.800404118585,1001.18608429567,1135.24256019562,991.512241411692,1129.55982602725,882.343407652037,898.247650893135,1102.31272048007,984.398419179607
"ENSG00000001497",1034.48058987619,798.447659750731,694.218908227184,707.816741247056,733.910789013731,794.65879110302,676.869569084565,677.536105148447,708.898481245083,768.35178251207
"ENSG00000001561",684.843416398848,782.03957094227,503.834583128778,336.493932146143,591.713158705299,501.539732449736,871.817212331224,640.549172610222,769.07284538922,648.233397515337
"ENSG00000001629",539.81265693488,1194.15711628718,1501.83161351577,902.946676091965,1018.89496420989,1013.86799092248,1713.15473476979,1489.76604822799,1214.62856902262,856.972875596097
"ENSG00000001630",489.545402623075,355.259241224874,251.57711370245,277.136628852188,370.492113263602,349.929077196228,394.57518005708,456.630572735415,378.43577904489,461.867056970146
