"","gene_symbol","RS04","RS26","RS37","RS06","RS07","RS12","RS13","RS36","RS20","RS11"
"ENSG00000000003","TSPAN6","6.8697589198537","6.57378909336877","6.67658668435512","6.92336200242345","6.90547456506267","6.89258534937607","6.6046235713666","6.41493854375711","6.8490532166487","6.45201714288554"
"ENSG00000000419","DPM1","9.84766958368488","9.41902602330721","9.17713852955461","9.14288175096836","9.31513728454078","9.46940144483195","9.18430578128569","9.17162020763358","9.45738323394998","9.56750109695226"
"ENSG00000000457","SCYL3","8.88269629008525","9.04738916088913","9.07460179889367","9.00974650253026","9.12609755820638","9.29266283026741","9.14259377968546","9.1629262248019","9.23892731789736","9.01543009880137"
"ENSG00000000460","FIRRM","7.43835807012464","7.34988939649833","7.89898900859985","7.22747730216338","7.61949553677185","7.57998557549454","7.79271635772751","8.10319530894952","8.06344813697874","7.5523978847103"
"ENSG00000000938","FGR","12.9226133366306","13.5990425523567","13.611131299519","13.7149254977659","13.2065647756647","13.12821080703","13.3142657159745","13.5540205210274","12.9586525710115","13.3480593026362"
"ENSG00000000971","CFH","7.2389950303569","7.48185220640786","7.41141316527566","7.23262651710667","8.04134221966558","7.31192344566817","7.15716053447779","7.92553499805","8.13798156045842","7.71650366205958"
"ENSG00000001036","FUCA2","10.0504594783079","10.1254579836846","10.0036183619615","9.87881585261471","9.77914763700918","9.49830494337753","9.88456875535414","9.91550640005928","9.82868963898877","10.0415023280282"
"ENSG00000001084","GCLC","9.61040560389068","10.1149826848335","10.128116559485","9.86694861431707","9.74718369012537","9.66962574961287","10.3591887662765","10.1822432074266","10.0541031669326","10.1026128969773"
"ENSG00000001167","NFYA","8.94567451728762","10.1276921548796","10.0447681854983","10.1834772991021","10.1324309168218","10.3441838410923","10.4349086728815","10.1615720766978","10.1890031580827","10.1072382868152"
"ENSG00000001460","STPG1","7.36310074540776","7.30927958597915","7.46695398373647","7.48793193603289","7.50697272680979","7.47684043548796","7.59896480751613","7.23433297738586","7.55187789567408","7.4917340666802"
"ENSG00000001461","NIPAL3","10.2889342162559","9.88134506878061","10.1438038893401","10.3058435664889","10.1313703074399","10.2993337397223","9.98302000190964","10.0056130785692","10.2677038535542","10.1221577062802"
