Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Hematopoietic cell lineage	15/99	2.6052734366890546E-9	6.056881061298864E-7	0	0	8.510303877052044	168.21235334300542	MME;IL11RA;FLT3;ITGA3;FLT3LG;CD3E;CD3D;HLA-DMA;HLA-DPB1;HLA-DRA;CD36;HLA-DOA;HLA-DRB1;HLA-DPA1;HLA-DQB1
Allograft rejection	10/38	4.588546258559745E-9	6.056881061298864E-7	0	0	16.86335403726708	323.7713820556929	HLA-DMA;HLA-B;HLA-DPB1;HLA-DRA;HLA-A;HLA-DOA;HLA-F;HLA-DRB1;HLA-DPA1;HLA-DQB1
Graft-versus-host disease	10/42	1.3240678554641881E-8	1.1173474401312838E-6	0	0	14.752415458937199	267.60840390923136	HLA-DMA;HLA-B;HLA-DPB1;HLA-DRA;HLA-A;HLA-DOA;HLA-F;HLA-DRB1;HLA-DPA1;HLA-DQB1
Type I diabetes mellitus	10/43	1.6929506668655814E-8	1.1173474401312838E-6	0	0	14.304640608988436	255.97021128551876	HLA-DMA;HLA-B;HLA-DPB1;HLA-DRA;HLA-A;HLA-DOA;HLA-F;HLA-DRB1;HLA-DPA1;HLA-DQB1
Th1 and Th2 cell differentiation	13/92	7.116430220887108E-8	3.757475156628393E-6	0	0	7.806245957682712	128.47733892445515	NOTCH3;CD3E;CD3D;ZAP70;HLA-DMA;LCK;HLA-DPB1;HLA-DRA;HLA-DOA;JAK3;HLA-DRB1;HLA-DPA1;HLA-DQB1
Antigen processing and presentation	12/78	8.664119771992967E-8	3.8122126996769057E-6	0	0	8.609885260370698	140.00956659487366	HLA-DMA;CTSL;HLA-B;HLA-DPB1;HLA-DRA;HLA-A;HLA-DOA;HLA-F;HLA-DRB1;CTSB;HLA-DPA1;HLA-DQB1
Autoimmune thyroid disease	10/53	1.4249940532438916E-7	5.104208351593689E-6	0	0	10.972362655881362	172.96753501140944	HLA-DMA;HLA-B;HLA-DPB1;HLA-DRA;HLA-A;HLA-DOA;HLA-F;HLA-DRB1;HLA-DPA1;HLA-DQB1
Phagosome	16/152	1.5467298035132391E-7	5.104208351593689E-6	0	0	5.6055363321799305	87.90575591638326	MSR1;SFTPD;HLA-B;HLA-A;HLA-F;HLA-DMA;FCGR3B;CLEC7A;CTSL;HLA-DPB1;HLA-DRA;CD36;HLA-DOA;HLA-DRB1;HLA-DPA1;HLA-DQB1
Asthma	8/31	1.964812708220083E-7	5.7634506107789105E-6	0	0	16.348662207357858	252.46746500969664	HLA-DMA;HLA-DPB1;HLA-DRA;HLA-DOA;MS4A2;HLA-DRB1;HLA-DPA1;HLA-DQB1
Th17 cell differentiation	13/107	4.330695167649371E-7	1.1433035242594339E-5	0	0	6.555521043640317	96.05390397725526	CD3E;CD3D;RXRB;ZAP70;HLA-DMA;LCK;HLA-DPB1;HLA-DRA;HLA-DOA;JAK3;HLA-DRB1;HLA-DPA1;HLA-DQB1
Viral myocarditis	10/60	4.827206283796729E-7	1.158529508111215E-5	0	0	9.432850241545895	137.1897491969253	HLA-DMA;HLA-B;HLA-DPB1;HLA-DRA;HLA-A;HLA-DOA;HLA-F;HLA-DRB1;HLA-DPA1;HLA-DQB1
Human T-cell leukemia virus 1 infection	18/219	1.0817901994908305E-6	2.379938438879827E-5	0	0	4.273582824792295	58.705751260048956	CDKN2B;ATF6B;HLA-B;HLA-A;HLA-F;CD3E;CD3D;HLA-DMA;CCND2;LCK;CDK2;HLA-DPB1;HLA-DRA;HLA-DOA;JAK3;HLA-DRB1;HLA-DPA1;HLA-DQB1
Epstein-Barr virus infection	17/202	1.5535376689935714E-6	3.1548764970330987E-5	0	0	4.378072913208048	58.55661953003403	LYN;HLA-B;HLA-A;HLA-F;CD3E;CD3D;HLA-DMA;CCND2;IRF3;CDK2;HLA-DPB1;HLA-DRA;HLA-DOA;JAK3;HLA-DRB1;HLA-DPA1;HLA-DQB1
Cell adhesion molecules	14/148	3.3333288175207247E-6	6.285705770181938E-5	0	0	4.954277393520204	62.48106310215804	HLA-B;HLA-A;F11R;HLA-F;VCAN;HLA-DMA;CLDN15;CD6;HLA-DPB1;HLA-DRA;HLA-DOA;HLA-DRB1;HLA-DPA1;HLA-DQB1
