Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Ribosome	84/158	5.756940380318894E-30	1.801922339039814E-27	0	0	6.792830845629156	457.3419184458442	RPL3;MRPS16;RPL32;RPL31;RPL34;RPLP1;MRPS12;RPLP0;RPL10A;RPL8;MRPL34;RPL9;RPL6;RPL7;RPS15;MRPL4;RPS4X;RPL7A;RPS17;MRPL2;RPS16;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS8;RPS5;RPL22;RPS6;MRPS18A;RPL13A;RPSA;RPS3A;MRPS6;RPL37A;RPL24;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;MRPL14;MRPL15;MRPL12;RPS4Y1;MRPL11;MRPL20;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;MRPL27;MRPL28;RPL23A;MRPL24;MRPL21;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;FAU;RPS21;RPS24;RPS23
Parkinson disease	94/249	1.3184427671655155E-19	2.0633629306140318E-17	0	0	3.624571278814052	157.56977459831532	NDUFA13;NDUFA11;COX4I1;LRRK2;NDUFA10;UBE2L6;COX6A1;TXN2;PSMD9;TUBB6;TUBA1A;PSMD4;PSMD3;TUBB1;UQCRFS1;SLC18A1;COX8A;APAF1;TUBB;NDUFC2;SDHC;NDUFC1;SDHA;ERN1;COX7A2L;NDUFS8;ADORA2A;NDUFS7;PSMA2;NDUFS6;NDUFS5;UQCRC1;NDUFS3;NDUFS2;UBA52;SLC25A6;PRKN;NDUFB9;NDUFB8;NDUFB7;NDUFB10;UQCRB;NDUFB11;PSMD13;ATP5MC2;ITPR1;NDUFB2;ATP5MC3;ITPR2;NDUFB1;UQCR11;COX7A2;ITPR3;TXN;UQCR10;UBE2J2;COX5B;COX5A;PSMA7;UQCRH;ATP5MC1;PSMB6;ATP5F1A;PSMB4;PSMB5;UBB;PSMB3;PSMB1;RPS27A;SNCA;XBP1;ATP5PD;ADRM1;NDUFA2;EIF2AK3;SEPTIN5;NDUFA1;ND4L;COX6C;ATP5F1D;ATP5F1E;SEM1;MAPK10;PSMC5;PINK1;PSMC3;UQCRQ;PSMC1;NDUFAB1;ATP5PO;BAX;CALM3;BCL2L1;TUBA8
Huntington disease	107/306	3.2763096592955484E-19	3.418283077865022E-17	0	0	3.2200248938090024	137.05198458352842	NDUFA13;NDUFA11;NDUFA10;COX6A1;PSMD9;TUBB6;PSMD4;PSMD3;TUBB1;EP300;SDHC;ATG14;SDHA;ATG13;ERN1;COX7A2L;UQCRC1;ULK2;NDUFB10;UQCRB;NDUFB11;PSMD13;ATP5MC2;ITPR1;ATP5MC3;COX7A2;UQCRH;ATP5MC1;ATG101;PPARGC1A;CREBBP;DNAH17;SEM1;UQCRQ;DNAL4;ATG2B;TUBA8;COX4I1;CLTB;CLTA;BBC3;ACTR1A;TUBA1A;CASP8;RB1CC1;UQCRFS1;COX8A;GPX1;APAF1;TUBB;NDUFC2;NDUFC1;CREB3;CREB1;NDUFS8;NDUFS7;PSMA2;NDUFS6;NDUFS5;NDUFS3;NDUFS2;SLC25A6;NDUFB9;DNAH1;HDAC2;NDUFB8;NDUFB7;DCTN2;DCTN3;NDUFB2;HTT;NDUFB1;UQCR11;UQCR10;COX5B;COX5A;PSMA7;PSMB6;ATP5F1A;PSMB4;PSMB5;PSMB3;PSMB1;AP2S1;POLR2F;POLR2G;POLR2I;POLR2L;ATP5PD;ADRM1;NDUFA2;NDUFA1;ND4L;COX6C;ATP5F1D;ATP5F1E;MTOR;SOD1;MAPK10;PSMC5;REST;PSMC3;PSMC1;NDUFAB1;ATP5PO;BAX;TAF4
Amyotrophic lateral sclerosis	115/364	1.013502667977811E-16	7.930658376926371E-15	0	0	2.7654961482942446	101.8475515752245	NDUFA13;NDUFA11;NDUFA10;COX6A1;ACTB;PSMD9;TUBB6;PSMD4;PSMD3;TUBB1;GABARAPL2;SDHC;ATG14;SDHA;ATG13;ERN1;COX7A2L;UQCRC1;ULK2;PFN1;SQSTM1;VCP;NDUFB10;UQCRB;NDUFB11;PSMD13;ATP5MC2;ATP5MC3;COX7A2;ITPR3;GABARAP;NUP160;UQCRH;ATP5MC1;ATG101;TPR;XBP1;DNAH17;ALYREF;EIF2AK3;CHCHD10;NUP153;SETX;SEM1;UQCRQ;DNAL4;ATG2B;BCL2L1;TUBA8;COX4I1;ACTR1A;TUBA1A;RB1CC1;NEFL;UQCRFS1;RAC1;SPG11;COX8A;SEC13;GPX1;APAF1;TUBB;SIGMAR1;NDUFC2;NDUFC1;TNFRSF1A;NDUFS8;NDUFS7;PSMA2;NDUFS6;NDUFS5;NDUFS3;NDUFS2;PRKN;NDUFB9;DNAH1;NDUFB8;NDUFB7;DCTN2;DCTN3;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;COX5A;TANK;PSMA7;PSMB6;ATP5F1A;PSMB4;PSMB5;PSMB3;PSMB1;HNRNPA1;ATP5PD;BAD;ADRM1;NDUFA2;NDUFA1;ND4L;COX6C;ATP5F1D;ATP5F1E;MAPK12;MTOR;SOD1;PSMC5;CCS;PINK1;PSMC3;PSMC1;NDUFAB1;ATP5PO;BAX
Oxidative phosphorylation	58/133	6.439271336023274E-16	4.0309838563505696E-14	0	0	4.585513312405534	160.3964229989977	NDUFA13;NDUFA11;COX4I1;NDUFA10;COX6A1;UQCRFS1;ATP6V1E1;COX8A;ATP6V0B;NDUFC2;SDHC;NDUFC1;SDHA;COX7A2L;NDUFS8;NDUFS7;PPA1;NDUFS6;NDUFS5;UQCRC1;NDUFS3;NDUFS2;ATP6V0D1;ATP6V0C;NDUFB9;NDUFB8;NDUFB7;NDUFB10;UQCRB;NDUFB11;COX17;ATP5MC2;NDUFB2;ATP5MC3;NDUFB1;COX7A2;UQCR11;UQCR10;COX5B;COX5A;UQCRH;ATP5MC1;ATP5F1A;ATP6V0A2;ATP6V0E2;ATP5MG;ATP5MF;ATP5ME;ATP5PD;NDUFA2;NDUFA1;ND4L;COX6C;ATP5F1D;ATP5F1E;UQCRQ;NDUFAB1;ATP5PO
Coronavirus disease	82/232	2.393957354257497E-15	1.2488477531376608E-13	0	0	3.2544260757415877	109.56295046225618	RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL9;RPL6;RPL7;RPS15;RPS4X;RPL7A;RPS17;RPS16;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPL21;RPS8;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;IRAK4;TNFRSF1A;ADAM17;IRF3;TRAF6;RPL37A;RPL24;TLR8;RPL26;RPL29;RPL28;UBA52;TLR2;CFD;RPL10;RPL12;RPL11;RPL36A;RPS4Y1;C5;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;ISG15;RPL23A;MAPK12;SELP;MAPK10;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;FAU;RPS21;RPS24;RPS23;NFKBIB
Pathways of neurodegeneration	134/475	8.219247192024083E-15	3.6751776730050543E-13	0	0	2.3560817079615983	76.4131435289871	NDUFA13;NDUFA11;NDUFA10;UBE2L6;COX6A1;PSMD9;TUBB6;FRAT1;FRAT2;PSMD4;PSMD3;TUBB1;CAPN1;GABARAPL2;MAP2K2;WNT5B;SDHC;ATG14;SDHA;ATG13;ERN1;COX7A2L;CSNK2B;UQCRC1;ULK2;UBA52;SQSTM1;VCP;UQCRB;NDUFB10;NDUFB11;PSMD13;ITPR1;ATP5MC2;ITPR2;ATP5MC3;ITPR3;COX7A2;UBE2J2;GABARAP;UQCRH;ATP5MC1;UBB;ATG101;WNT10A;XBP1;DNAH17;EIF2AK3;BRAF;SEM1;CDK5;UQCRQ;CALM3;DNAL4;ATG2B;BCL2L1;TUBA8;GSK3B;COX4I1;LRRK2;ATP2A2;ACTR1A;TUBA1A;CASP8;RB1CC1;NEFL;UQCRFS1;RAC1;SPG11;HRAS;COX8A;GPX1;APAF1;TUBB;SIGMAR1;NDUFC2;NDUFC1;TNFRSF1A;NDUFS8;NDUFS7;PSMA2;NDUFS6;NDUFS5;NDUFS3;NDUFS2;SLC25A6;PRKN;NDUFB9;NDUFB8;DNAH1;NDUFB7;DCTN2;DCTN3;NDUFB2;HTT;NDUFB1;UQCR11;UQCR10;COX5B;TANK;HSD17B10;COX5A;PSMA7;PSMB6;PSMB4;ATP5F1A;PSMB5;PSMB3;PSMB1;RPS27A;SNCA;ATP5PD;BAD;ADRM1;NDUFA2;SEPTIN5;NDUFA1;ND4L;COX6C;ATP5F1D;MTOR;ATP5F1E;MAPK12;SOD1;MAPK10;PSMC5;PINK1;CCS;PSMC3;APC;PSMC1;NDUFAB1;ATP5PO;BAX
Thermogenesis	79/232	7.823970339130663E-14	3.0611283951848716E-12	0	0	3.070099531965515	92.6525311969245	NDUFA13;SMARCB1;NDUFA11;COX4I1;NDUFA10;COX6A1;ACTB;RPS6KA3;DPF3;UQCRFS1;HRAS;COX8A;CPT1A;ACSL1;RPS6;NDUFC2;SDHC;TSC1;NDUFC1;SDHA;ARID1A;CPT1B;ARID1B;CREB3;COX7A2L;CREB1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;UQCRC1;NDUFS3;NDUFS2;SOS1;SOS2;NDUFB9;KDM3A;NDUFB8;PRKAA1;SMARCD2;KDM3B;NDUFB7;COX16;NDUFB10;UQCRB;NDUFB11;COX17;ATP5MC2;NDUFB2;ATP5MC3;NDUFB1;UQCR11;COX7A2;UQCR10;COX5B;COX5A;UQCRH;ATP5MC1;ATP5F1A;COX14;PPARGC1A;ATP5MG;ATP5MF;ATP5ME;COA3;ATP5PD;NDUFA2;NDUFA1;ND4L;COX6C;ATP5F1D;ATP5F1E;MAPK12;MTOR;NDUFAF8;UQCRQ;NDUFAB1;ATP5PO;GRB2
Prion disease	88/273	1.1325982858067691E-13	3.938925149527986E-12	0	0	2.831921805485429	84.4170172053015	GSK3B;NDUFA13;NDUFA11;COX4I1;NDUFA10;COX6A1;PSMD9;TUBB6;TUBA1A;PSMD4;PSMD3;TUBB1;UQCRFS1;RAC1;COX8A;APAF1;TUBB;NDUFC2;CYBA;SDHC;NDUFC1;SDHA;CREB3;COX7A2L;CREB1;NDUFS8;NDUFS7;PSMA2;NDUFS6;NDUFS5;CSNK2B;UQCRC1;NDUFS3;NDUFS2;SLC25A6;NDUFB9;NDUFB8;NDUFB7;NDUFB10;UQCRB;ATF6B;NDUFB11;PSMD13;ATP5MC2;ITPR1;NDUFB2;ATP5MC3;ITPR2;NDUFB1;UQCR11;COX7A2;ITPR3;UQCR10;COX5B;COX5A;PSMA7;UQCRH;ATP5MC1;PSMB6;C5;ATP5F1A;PSMB4;PSMB5;PSMB3;PSMB1;ATP5PD;BAD;ADRM1;NDUFA2;EIF2AK3;NDUFA1;ND4L;HSPA2;COX6C;ATP5F1D;ATP5F1E;MAPK12;SOD1;SEM1;MAPK10;PSMC5;PSMC3;UQCRQ;PSMC1;NDUFAB1;ATP5PO;BAX;TUBA8
Alzheimer disease	107/369	6.436433030780424E-13	2.0146035386342726E-11	0	0	2.436613861815266	68.39972692267948	NDUFA13;NDUFA11;NDUFA10;COX6A1;PSMD9;FRAT1;TUBB6;FRAT2;PSMD4;PSMD3;TUBB1;CAPN1;MAP2K2;WNT5B;SDHC;ATG14;SDHA;ATG13;ERN1;COX7A2L;ADAM17;CSNK2B;UQCRC1;ULK2;NDUFB10;UQCRB;NDUFB11;PSMD13;ATP5MC2;ITPR1;ATP5MC3;ITPR2;COX7A2;ITPR3;RTN4;UQCRH;ATP5MC1;APH1A;APH1B;ATG101;WNT10A;XBP1;EIF2AK3;BRAF;SEM1;CDK5;UQCRQ;CALM3;ATG2B;TUBA8;GSK3B;COX4I1;ATP2A2;TUBA1A;CASP8;RB1CC1;UQCRFS1;HRAS;COX8A;APAF1;TUBB;NDUFC2;NDUFC1;TNFRSF1A;NDUFS8;NDUFS7;PSMA2;NDUFS6;NDUFS5;NDUFS3;NDUFS2;SLC25A6;NDUFB9;NDUFB8;NDUFB7;NDUFB2;NDUFB1;UQCR11;UQCR10;COX5B;COX5A;HSD17B10;PSMA7;PSMB6;ATP5F1A;PSMB4;PSMB5;PSMB3;PSMB1;SNCA;ATP5PD;BAD;ADRM1;NDUFA2;NDUFA1;ND4L;COX6C;ATP5F1D;ATP5F1E;MTOR;MAPK10;PSMC5;PSMC3;APC;PSMC1;NDUFAB1;ATP5PO
