"","ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","GENENAME","ENTREZID","diffexpres.modsed","delabel"
"2352","ENSG00000104643",257.768130966844,2.89474888673855,0.422645306312624,6.84912110344686,7.43050754416794e-12,8.43659826564827e-08,"MTMR9","myotubularin related protein 9","66036","UP","MTMR9"
"8985","ENSG00000167716",1056.80294704254,3.33326294851556,0.524807060409219,6.35140645005128,2.13355150419962e-10,1.21121718893412e-06,"WDR81","WD repeat domain 81","124997","UP","WDR81"
"10872","ENSG00000184113",156.009524132861,-3.10988547744947,0.541213075387291,-5.74613884785404,9.13043408176758e-09,2.59167371410973e-05,"CLDN5","claudin 5","7122","DOWN","CLDN5"
"11348","ENSG00000188177",386.157793101458,1.4653797910581,0.25490903548649,5.74863809068771,8.99651529703272e-09,2.59167371410973e-05,"ZC3H6","zinc finger CCCH-type containing 6","376940","UP","ZC3H6"
"8686","ENSG00000166004",311.593436321917,1.71124583671502,0.320099723975495,5.34597723316381,8.99305125486997e-08,0.000170178506579656,"CEP295","centrosomal protein 295","85459","UP","CEP295"
"14367","ENSG00000277177",424.111610893186,-1.9782292964485,0.369694232259789,-5.35098771857056,8.74754592211489e-08,0.000170178506579656,"LILRA6","leukocyte immunoglobulin like receptor A6","79168","DOWN","LILRA6"
"13419","ENSG00000241394",505.180296859313,-5.79836511031998,1.1137818757749,-5.20601496256691,1.92939095303495e-07,0.000312947212582269,"HLA-DMA","major histocompatibility complex, class II, DM alpha","3108","DOWN","HLA-DMA"
"147","ENSG00000007545",681.989712326477,1.01235731769182,0.208234969087759,4.86161052644895,1.16434538910238e-06,0.00165249719348355,"CRAMP1","cramped chromatin regulator homolog 1","57585","UP","CRAMP1"
"12416","ENSG00000211689",622.57959504474,2.50772033900765,0.521778542385891,4.80610093228597,1.53902223996829e-06,0.00194156205695555,"TRGC1","T cell receptor gamma constant 1","6966","UP","TRGC1"
"9298","ENSG00000169738",735.290117707692,-1.8974241861441,0.397052571329031,-4.77877319820133,1.76368000933254e-06,0.00200248228259616,"DCXR","dicarbonyl and L-xylulose reductase","51181","DOWN","DCXR"
"3107","ENSG00000111644",512.393398295866,-1.85366211852289,0.393042775293945,-4.71618417902884,2.40308916241522e-06,0.00209882110385096,"ACRBP","acrosin binding protein","84519","DOWN","ACRBP"
"8029","ENSG00000162367",244.999234620697,-1.88701609087163,0.398095644392168,-4.74010735222391,2.136050145202e-06,0.00209882110385096,"TAL1","TAL bHLH transcription factor 1, erythroid differentiation factor","6886","DOWN","TAL1"
"12532","ENSG00000213221",248.832437449991,-1.88472493181181,0.399513898481688,-4.71754534441609,2.38707208501233e-06,0.00209882110385096,"DNLZ","DNL-type zinc finger","728489","DOWN","DNLZ"
"13337","ENSG00000238083",567.013602564137,1.44376453619537,0.308118989335511,4.68573695931234,2.7895434391107e-06,0.00226231972911878,"LRRC37A","leucine rich repeat containing 37A","9884","UP","LRRC37A"
"1442","ENSG00000088826",422.691341675881,-1.93700335510023,0.416775549008704,-4.64759355415013,3.35829797428352e-06,0.00244168241005824,"SMOX","spermine oxidase","54498","DOWN","SMOX"
"6333","ENSG00000142694",256.385108369752,-2.25332167274051,0.485359500417445,-4.64258280883034,3.44080663739051e-06,0.00244168241005824,"EVA1B","eva-1 homolog B","55194","DOWN","EVA1B"
"2753","ENSG00000107872",412.927880136584,-1.79968615833682,0.393927990953035,-4.56856633615402,4.91071651082956e-06,0.00327978089787993,"FBXL15","F-box and leucine rich repeat protein 15","79176","DOWN","FBXL15"
"10049","ENSG00000175602",1457.73907027188,-2.24114635005626,0.491927330906429,-4.55584841347746,5.21745541198289e-06,0.00329105493042521,"CCDC85B","coiled-coil domain containing 85B","11007","DOWN","CCDC85B"
"446","ENSG00000038219",2230.37907846227,1.35181542258477,0.302538244594778,4.46824640103072,7.88634343859853e-06,0.00331635345932769,"BOD1L1","biorientation of chromosomes in cell division 1 like 1","259282","UP","BOD1L1"
"2233","ENSG00000103254",396.215811773418,-2.08751705066309,0.465090069900418,-4.48841457980399,7.17551848966044e-06,0.00331635345932769,"ANTKMT","adenine nucleotide translocase lysine methyltransferase","65990","DOWN","ANTKMT"
"12183","ENSG00000204487",327.746565445211,-1.90402662024921,0.425963976332473,-4.46992404532135,7.824737968574e-06,0.00331635345932769,"LTB","lymphotoxin beta","4050","DOWN",NA
"7309","ENSG00000153922",1637.45708147696,1.16268297267553,0.260920469491982,4.456081866399,8.34711672832969e-06,0.00338475583333769,"CHD1","chromodomain helicase DNA binding protein 1","1105","UP",NA
"6574","ENSG00000144674",1120.92869647313,1.63121787949145,0.367087986098238,4.44367002262754,8.84372080627665e-06,0.00346246917360224,"GOLGA4","golgin A4","2803","UP",NA
"7183","ENSG00000152223",1135.74091157066,0.990386421283205,0.223735071611397,4.42660336687578,9.57285196706437e-06,0.00350613423335642,"EPG5","ectopic P-granules 5 autophagy tethering factor","57724","NO",NA
"8514","ENSG00000164897",668.357111122327,-1.43628853966061,0.324239458773164,-4.42971544886961,9.43575056713479e-06,0.00350613423335642,"TMUB1","transmembrane and ubiquitin like domain containing 1","83590","DOWN",NA
"4623","ENSG00000127920",636.299793454806,-2.3650144796944,0.538995444312757,-4.38781905236676,1.14492966464643e-05,0.00393925194315017,"GNG11","G protein subunit gamma 11","2791","DOWN",NA
"13137","ENSG00000233276",7769.74528455045,-1.62745232369474,0.370421201830404,-4.39351828581309,1.11530803424849e-05,0.00393925194315017,"GPX1","glutathione peroxidase 1","2876","DOWN",NA
"3310","ENSG00000113504",1233.38155374155,-1.67262556572415,0.383167211731119,-4.36526277435735,1.26970030528373e-05,0.0040369259725154,"SLC12A7","solute carrier family 12 member 7","10723","DOWN",NA
"5831","ENSG00000138119",919.407333077147,1.18962094416066,0.273005105826786,4.35750437911386,1.3155386734461e-05,0.0040369259725154,"MYOF","myoferlin","26509","UP",NA
"8277","ENSG00000163682",12044.3350984174,-1.59268707029415,0.365465309886978,-4.3579705849146,1.31274021647283e-05,0.0040369259725154,"RPL9","ribosomal protein L9","6133","DOWN",NA
"13873","ENSG00000263155",181.963782242358,-1.75781997779293,0.402695690961749,-4.36513232509335,1.27045827518036e-05,0.0040369259725154,"MYZAP","myocardial zonula adherens protein","100820829","DOWN",NA
"4879","ENSG00000130748",440.724306923936,-2.10473298124921,0.485287818085795,-4.33708183640643,1.44386876485885e-05,0.00431412788321246,"TMEM160","transmembrane protein 160","54958","DOWN",NA
"1281","ENSG00000083223",1599.8015627789,0.903012733131439,0.209474313816378,4.31085184946832,1.6262683901866e-05,0.0047345259749176,"TUT7","terminal uridylyl transferase 7","79670","NO",NA
"12090","ENSG00000203618",1748.35940087738,-3.88298310870675,0.903547586069997,-4.2974860080097,1.72746161303475e-05,0.00479371334878117,"GP1BB","glycoprotein Ib platelet subunit beta","2812","DOWN",NA
"14128","ENSG00000274513",102.395417736934,4.63872236442387,1.07951896983961,4.29702718898313,1.73103969790407e-05,0.00479371334878117,"LILRB2","leukocyte immunoglobulin like receptor B2","10288","UP",NA
"2259","ENSG00000103489",833.896332969193,2.72657250185184,0.63622099119962,4.28557457167639,1.82267494148388e-05,0.00485309868905201,"XYLT1","xylosyltransferase 1","64131","UP",NA
"7330","ENSG00000154146",8109.61000141111,-2.15163360935343,0.502784989430243,-4.27943087917495,1.87371815163904e-05,0.00485309868905201,"NRGN","neurogranin","4900","DOWN",NA
"11289","ENSG00000187608",653.669927460183,-2.04766488763691,0.478582785511047,-4.2786012151489,1.88071465843129e-05,0.00485309868905201,"ISG15","ISG15 ubiquitin like modifier","9636","DOWN",NA
"7238","ENSG00000152818",4901.868800266,1.15086357539564,0.270027810205368,4.26201869548309,2.02588489936004e-05,0.00506885098228244,"UTRN","utrophin","7402","UP",NA
"10441","ENSG00000179862",195.699389894807,-1.78575069429726,0.419731158659945,-4.25451067297108,2.09506667080742e-05,0.00506885098228244,"CITED4","Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 4","163732","DOWN",NA
"12521","ENSG00000213145",2222.05277231521,-1.71881991802374,0.404479958451175,-4.24945632561229,2.14289983397532e-05,0.00506885098228244,"CRIP1","cysteine rich protein 1","1396","DOWN",NA
"14796","ENSG00000284874",471.240593122968,-2.28034429172709,0.536129396528331,-4.25334687202997,2.10598967889496e-05,0.00506885098228244,"SEPT5-GP1BB","SEPT5-GP1BB readthrough","100526833","DOWN",NA
"6264","ENSG00000141933",449.959986430126,-2.07892650748564,0.491638263752735,-4.22856937866661,2.35181995508732e-05,0.00544950281021662,"TPGS1","tubulin polyglutamylase complex subunit 1","91978","DOWN",NA
"9822","ENSG00000173621",176.60792766194,-2.86197055234322,0.683150977428079,-4.1893675730626,2.79732970020819e-05,0.00635217628323276,"LRFN4","leucine rich repeat and fibronectin type III domain containing 4","78999","DOWN",NA
"9291","ENSG00000169704",291.73094941433,-2.69585582040352,0.645860585048071,-4.17405223791891,2.99229098345469e-05,0.00659353462485831,"GP9","glycoprotein IX platelet","2815","DOWN",NA
"9550","ENSG00000171611",167.926796965093,-2.37653123581585,0.569691380828089,-4.17161171082032,3.02452714598403e-05,0.00659353462485831,"PTCRA","pre T cell antigen receptor alpha","171558","DOWN",NA
"15002","ENSG00000289720",136.528427144688,2.61538380243752,0.627547075925196,4.16762965325214,3.07783455273464e-05,0.00659353462485831,"ITCH","itchy E3 ubiquitin protein ligase","83737","UP",NA
"1436","ENSG00000088726",176.821320589236,-2.24977571887218,0.542417009021842,-4.14768652430216,3.35851821130818e-05,0.00706159551318391,"TMEM40","transmembrane protein 40","55287","DOWN",NA
"7502","ENSG00000156381",159.851489746344,-2.32216837515613,0.565073238447681,-4.10949982613827,3.96517013272168e-05,0.00776216235981414,"ANKRD9","ankyrin repeat domain 9","122416","DOWN",NA
"8764","ENSG00000166428",1242.90334363699,-1.59582178900695,0.387996120361512,-4.11298388117917,3.90577666657773e-05,0.00776216235981414,"PLD4","phospholipase D family member 4","122618","DOWN",NA
"13407","ENSG00000240972",1772.44463222224,-1.79311692907953,0.43557070698352,-4.1167068866901,3.84324342242322e-05,0.00776216235981414,"MIF","macrophage migration inhibitory factor","4282","DOWN",NA
"13149","ENSG00000233493",130.119534482117,-2.49810647669077,0.608563219875224,-4.10492516653071,4.04445783182435e-05,0.00778318207161588,"TMEM238","transmembrane protein 238","388564","DOWN",NA
"2872","ENSG00000108960",1048.21472987526,-1.21899617208028,0.298306033414603,-4.08639462677595,4.38128332284597e-05,0.00802340174961179,"MMD","monocyte to macrophage differentiation associated","23531","DOWN",NA
"7693","ENSG00000158710",14432.3246341002,-1.26209089686862,0.308293544432156,-4.09379605788781,4.24367609745449e-05,0.00802340174961179,"TAGLN2","transgelin 2","8407","DOWN",NA
"13870","ENSG00000263002",99.4881883475509,1.39112642980638,0.340185102790101,4.08932201438792,4.32635894324765e-05,0.00802340174961179,"ZNF234","zinc finger protein 234","10780","UP",NA
"8939","ENSG00000167526",53200.7666109412,-1.84153781016115,0.451195594945071,-4.08146229881819,4.47532379451429e-05,0.00806552799411354,"RPL13","ribosomal protein L13","6137","DOWN",NA
"12953","ENSG00000228300",668.391357134645,-1.6901745430031,0.414639823255352,-4.07624750013996,4.57683037900911e-05,0.00811958314426084,"FAM174C","family with sequence similarity 174 member C","55009","DOWN",NA
"9369","ENSG00000170291",302.903499612658,-1.40092773384784,0.345645927367019,-4.0530717214564,5.05494967850387e-05,0.00882983056149737,"ELP5","elongator acetyltransferase complex subunit 5","23587","DOWN",NA
"8195","ENSG00000163346",5056.21993881702,-1.02922750291421,0.25427092471015,-4.04775931061507,5.17102798891535e-05,0.00889573511911286,"PBXIP1","PBX homeobox interacting protein 1","57326","DOWN",NA
"4607","ENSG00000127603",6288.51825444859,1.44040435176029,0.357007009254357,4.03466686765819,5.46798197053675e-05,0.00903052906329307,"MACF1","microtubule actin crosslinking factor 1","23499","UP",NA
"9730","ENSG00000172922",708.198080963005,-1.96375369698538,0.48682365809466,-4.0338090894579,5.48799106365353e-05,0.00903052906329307,"RNASEH2C","ribonuclease H2 subunit C","84153","DOWN",NA
"11029","ENSG00000185340",671.810685216244,-1.43626735081368,0.355690355370756,-4.03797103049527,5.39155093190744e-05,0.00903052906329307,"GAS2L1","growth arrest specific 2 like 1","10634","DOWN",NA
"1209","ENSG00000080345",1140.6542447028,0.735741178125201,0.182902878217739,4.02257845964201,5.75644690530286e-05,0.00933695688040124,"RIF1","replication timing regulatory factor 1","55183","NO",NA
"12198","ENSG00000204577",463.474862602744,5.74894683440306,1.43163312191201,4.01565648797305,5.92805483260018e-05,0.00947987810835808,"LILRB3","leukocyte immunoglobulin like receptor B3","11025","UP",NA
"14145","ENSG00000274675",155.6811098729,1.62222089202887,0.404353676824914,4.01188609132222,6.02355645999746e-05,0.00949881389539044,"GTF2H2C_2","GTF2H2 family member C, copy 2","730394","UP",NA
"1700","ENSG00000099385",752.368884467916,-1.57860591227905,0.394403628664321,-4.0025136625267,6.26730474393739e-05,0.00974780521406371,"BCL7C","BAF chromatin remodeling complex subunit BCL7C","9274","DOWN",NA
"14434","ENSG00000278259",118.392644355109,1.79420524283618,0.44863177028463,3.99928262257901,6.35347729702447e-05,0.009748294760867,"MYO19","myosin XIX","80179","UP",NA
"9486","ENSG00000171159",888.076090242102,-1.60856946051552,0.403292973144682,-3.98858786944062,6.64677825775678e-05,0.00992993688665401,"BBLN","bublin coiled coil protein","79095","DOWN",NA
"10503","ENSG00000180549",355.337678182474,-1.9878115849681,0.498252636414249,-3.98956561328744,6.61944072665979e-05,0.00992993688665401,"FUT7","fucosyltransferase 7","2529","DOWN",NA
"804","ENSG00000066739",878.085238400193,1.33560238475433,0.336340385412594,3.97098428461372,7.15763012145538e-05,0.0105542509609097,"ATG2B","autophagy related 2B","55102","UP",NA
"14139","ENSG00000274619",725.362504094565,-2.175998447131,0.550552998205817,-3.95238688050433,7.73755092443482e-05,0.011263096563594,"CFD","complement factor D","1675","DOWN",NA
"1357","ENSG00000085982",314.96047282659,1.65782378713327,0.4210689294599,3.93717909621056,8.24450754350268e-05,0.011811609892525,"USP40","ubiquitin specific peptidase 40","55230","UP",NA
"4023","ENSG00000120885",2706.37750403237,-2.2723849198271,0.577491980738247,-3.93492030300084,8.3224307856438e-05,0.011811609892525,"CLU","clusterin","1191","DOWN",NA
"6583","ENSG00000144747",1380.37169106257,1.10612548586189,0.281474031191239,3.92976034478423,8.50305675545075e-05,0.0119189760989368,"TMF1","TATA element modulatory factor 1","7110","UP",NA
"5969","ENSG00000139218",4079.60038905255,0.715307908274357,0.182258029286007,3.92469901642505,8.68382431335551e-05,0.0119855848466144,"SCAF11","SR-related CTD associated factor 11","9169","NO",NA
"9497","ENSG00000171222",1096.60206893822,-1.53803628591019,0.392101214186243,-3.92254915379996,8.76170109449528e-05,0.0119855848466144,"SCAND1","SCAN domain containing 1","51282","DOWN",NA
"7011","ENSG00000149806",10230.258491134,-1.219016795815,0.312292628210367,-3.90344403196686,9.48334877797911e-05,0.0125387664371901,"FAU","FAU ubiquitin like and ribosomal protein S30 fusion","2197","DOWN",NA
"9520","ENSG00000171443",527.07870644953,-1.62660428622938,0.416363840362541,-3.90668960304776,9.35692263792668e-05,0.0125387664371901,"ZNF524","zinc finger protein 524","147807","DOWN",NA
"10842","ENSG00000183785",361.998348130463,-2.12228543640092,0.543917829168614,-3.90184936508675,9.54605588903815e-05,0.0125387664371901,"TUBA8","tubulin alpha 8","51807","DOWN",NA
"14166","ENSG00000274950",2306.00960766867,-3.2244272738568,0.827302207992166,-3.89752044985154,9.71826181497911e-05,0.0125387664371901,"RPS9","ribosomal protein S9","6203","DOWN",NA
"14336","ENSG00000276787",154.38096084145,1.19904594455475,0.307603821208979,3.89802031665969,9.69822815856218e-05,0.0125387664371901,"FAN1","FANCD2 and FANCI associated nuclease 1","22909","UP",NA
"15042","ENSG00000291525",782.672839598691,-1.4874552818419,0.383223084486467,-3.88143444916723,0.000103842143404788,0.013247457260876,"MAP3K7CL","MAP3K7 C-terminal like","56911","DOWN",NA
"1832","ENSG00000100348",1041.56180119463,-1.15566275261384,0.298661440164787,-3.86947425143401,0.000109070298976708,0.0137598241620171,"TXN2","thioredoxin 2","25828","DOWN",NA
"1327","ENSG00000085117",1222.92014655491,-1.2350435824656,0.319448725057682,-3.86617158119065,0.000110557170882282,0.0137941331670047,"CD82","CD82 molecule","3732","DOWN",NA
"636","ENSG00000058272",2189.19130274243,0.776850078846982,0.201930494557018,3.84711620971951,0.00011951628880417,0.0140480069639065,"PPP1R12A","protein phosphatase 1 regulatory subunit 12A","4659","NO",NA
"1702","ENSG00000099624",1214.34543765329,-1.49225233965037,0.386952799403082,-3.8564195476873,0.000115059942639661,0.0140480069639065,"ATP5F1D","ATP synthase F1 subunit delta","513","DOWN",NA
"4647","ENSG00000128185",662.510043283697,-1.30930651354168,0.340058662454974,-3.85023720345615,0.000118003484939966,0.0140480069639065,"DGCR6L","DiGeorge syndrome critical region gene 6 like","85359","DOWN",NA
"6658","ENSG00000145715",785.625308325236,0.788036894046453,0.204892761545381,3.84609435737393,0.000120015560639328,0.0140480069639065,"RASA1","RAS p21 protein activator 1","5921","NO",NA
"8004","ENSG00000162066",337.291517158171,-1.48783510427528,0.386564838230882,-3.84886300338224,0.000118667346803307,0.0140480069639065,"AMDHD2","amidohydrolase domain containing 2","51005","DOWN",NA
"2779","ENSG00000108107",24720.3198692129,-1.25264776161752,0.327039230099991,-3.83026758360006,0.000128003986320226,0.0146541762169023,"RPL28","ribosomal protein L28","6158","DOWN",NA
"4193","ENSG00000123144",4707.76573987409,-1.39607383948116,0.364852454639049,-3.82640659732522,0.000130027453836515,0.0146541762169023,"TRIR","telomerase RNA component interacting RNase","79002","DOWN",NA
"9777","ENSG00000173272",697.210155480617,-1.81438930814611,0.474253011488556,-3.82578341980627,0.000130356860833815,0.0146541762169023,"MZT2A","mitotic spindle organizing protein 2A","653784","DOWN",NA
"12604","ENSG00000213977",621.363704576836,-1.26863022576144,0.33112539908123,-3.83126824242867,0.000127484423885408,0.0146541762169023,"TAX1BP3","Tax1 binding protein 3","30851","DOWN",NA
"9219","ENSG00000169217",1312.59040552167,-1.36240797000138,0.35746536901492,-3.81130058488133,0.000138237549201033,0.0153877366042012,"CD2BP2","CD2 cytoplasmic tail binding protein 2","10421","DOWN",NA
"4519","ENSG00000126432",1603.53827655403,-1.42383111153704,0.374401081032652,-3.80295673188204,0.000142979335208703,0.0156094939611501,"PRDX5","peroxiredoxin 5","25824","DOWN",NA
"12546","ENSG00000213402",6114.81071178558,-1.56608822165754,0.411564294513602,-3.80520915573686,0.000141684413602582,0.0156094939611501,"PTPRCAP","protein tyrosine phosphatase receptor type C associated protein","5790","DOWN",NA
"2129","ENSG00000102265",1707.8828254937,-0.956959422214586,0.251841582379537,-3.79984676546546,0.000144785586607099,0.0156561480984476,"TIMP1","TIMP metallopeptidase inhibitor 1","7076","NO",NA
"354","ENSG00000025708",8799.33010522641,-1.91885444640088,0.509032426791894,-3.76961141453049,0.000163501909702796,0.0170122086265433,"TYMP","thymidine phosphorylase","1890","DOWN",NA
"565","ENSG00000051523",12265.2257128586,-1.29744234155888,0.345185526082621,-3.75868118308164,0.000170811324945035,0.0170122086265433,"CYBA","cytochrome b-245 alpha chain","1535","DOWN",NA
"568","ENSG00000051825",497.463975576824,1.04936912563428,0.27833284272201,3.77019512096297,0.000163119964571803,0.0170122086265433,"MPHOSPH9","M-phase phosphoprotein 9","10198","UP",NA
"4689","ENSG00000128626",387.592454870491,-1.54832664848488,0.410528151322418,-3.77154804974353,0.000162237908465517,0.0170122086265433,"MRPS12","mitochondrial ribosomal protein S12","6183","DOWN",NA
"8335","ENSG00000163931",12642.4991267682,-1.1179774877051,0.296841110221658,-3.76624884225194,0.000165718627556882,0.0170122086265433,"TKT","transketolase","7086","DOWN",NA
"11403","ENSG00000188677",971.832515639497,-1.28900134670304,0.342646226730821,-3.76190147780518,0.000168626475235219,0.0170122086265433,"PARVB","parvin beta","29780","DOWN",NA
"12839","ENSG00000225663",469.274251771027,-1.44405817036829,0.384121332979531,-3.75938029571827,0.000170334752373473,0.0170122086265433,"MCRIP1","MAPK regulated corepressor interacting protein 1","348262","DOWN",NA
"14058","ENSG00000273594",5587.49495855293,-1.31978398636817,0.349606541644969,-3.77505518105675,0.000159972247385458,0.0170122086265433,"EEF1D","eukaryotic translation elongation factor 1 delta","1936","DOWN",NA
"7697","ENSG00000158716",353.316049352969,-1.72290365023668,0.458736906747671,-3.75575547747321,0.000172819365702243,0.0170625311146371,"DUSP23","dual specificity phosphatase 23","54935","DOWN",NA
