"ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","GENENAME","ENTREZID","diffexpres.modsed","delabel"
"ENSG00000164308",1982.79347550186,3.03140496698634,0.332201639730589,9.12519567767567,7.16067816420023e-20,4.5849822285374e-16,"ERAP2","endoplasmic reticulum aminopeptidase 2","64167","UP","ERAP2"
"ENSG00000229295",1909.7688454168,10.0400338847209,1.09599422205362,9.16066315195386,5.15793627275873e-20,4.5849822285374e-16,"HLA-DPB1","major histocompatibility complex, class II, DP beta 1","3115","UP","HLA-DPB1"
"ENSG00000236222",202.887630069632,3.19068039177123,0.457137257504201,6.97969885279347,2.95813458921807e-12,1.26272905165089e-08,"WDR46","WD repeat domain 46","9277","UP","WDR46"
"ENSG00000105048",195.319501775929,2.41673307147824,0.363978249121276,6.63977333072175,3.14165905095783e-11,1.00580214516415e-07,"TNNT1","troponin T1, slow skeletal type","7138","UP","TNNT1"
"ENSG00000237344",135.847116121474,3.66608375202734,0.646870274108526,5.66741725314198,1.44966023980416e-08,3.71286980618642e-05,"PBX2","PBX homeobox 2","5089","UP","PBX2"
"ENSG00000228628",775.42807906655,-2.91265575261965,0.531913825948119,-5.47580380605436,4.35530030461228e-08,7.96771081440927e-05,"ATF6B","activating transcription factor 6 beta","1388","DOWN","ATF6B"
"ENSG00000223501",128.553932979096,-2.84327048817019,0.537313339988793,-5.29164321181657,1.21222209337752e-07,0.000194046451597406,"VPS52","VPS52 subunit of GARP complex","6293","DOWN","VPS52"
"ENSG00000281887",173.952556837162,3.41720985151644,0.672306019684226,5.08281906076262,3.71873913722537e-07,0.000529135259903423,"GIMAP1-GIMAP5","GIMAP1-GIMAP5 readthrough","100527949","UP","GIMAP1-GIMAP5"
"ENSG00000167615",1309.28648043532,-2.19648793109599,0.456467465422815,-4.81192658289773,1.49482269385944e-06,0.0019142699417564,"LENG8","leukocyte receptor cluster member 8","114823","DOWN","LENG8"
"ENSG00000204257",434.824297359166,-6.08436602720182,1.39249917583593,-4.369385729474,1.24596516837245e-05,0.0113970213901268,"HLA-DMA","major histocompatibility complex, class II, DM alpha","3108","DOWN","HLA-DMA"
"ENSG00000228964",16448.1015285762,-5.59148533772181,1.31433157487118,-4.25424257061604,2.09757818916589e-05,0.0179077241936389,"HLA-B","major histocompatibility complex, class I, B","3106","DOWN","HLA-B"
"ENSG00000119139",566.213317575278,1.37287347273638,0.326553082827658,4.20413569778158,2.62081678446476e-05,0.0209763623386598,"TJP2","tight junction protein 2","9414","UP","TJP2"
"ENSG00000232045",232.083857039215,-2.05544957323495,0.492418137269106,-4.17419550107199,2.99040884806306e-05,0.0212750976157198,"EHMT2","euchromatic histone lysine methyltransferase 2","10919","DOWN","EHMT2"
"ENSG00000262243",240.684590909985,-7.37672488057411,1.80996246521251,-4.07562312608951,4.58912921197683e-05,0.0309307308887239,"CES1","carboxylesterase 1","1066","DOWN","CES1"
"ENSG00000196126",2254.85574597032,4.03662303354691,0.996750892238683,4.04978120910505,5.1265540514692e-05,0.0328253255915573,"HLA-DRB1","major histocompatibility complex, class II, DR beta 1","3123","UP","HLA-DRB1"
"ENSG00000228987",2226.75998697014,6.25660678163968,1.55528177486006,4.02281238215027,5.75073056071781e-05,0.035068502647882,"HLA-DRA","major histocompatibility complex, class II, DR alpha","3122","UP","HLA-DRA"
"ENSG00000089737",305.986344428459,-2.22315587936471,0.572718533642469,-3.88175997243448,0.000103703209338733,0.0491860481034006,"DDX24","DEAD-box helicase 24","57062","DOWN","DDX24"
"ENSG00000162747",183.208476263164,1.55862601938988,0.396515874611843,3.9308035798457,8.46624183768962e-05,0.0491860481034006,"FCGR3B","Fc gamma receptor IIIb","2215","UP","FCGR3B"
"ENSG00000206289",71.8228180903472,-2.78450098259474,0.715830723946715,-3.88988749636571,0.000100290706462349,0.0491860481034006,"RXRB","retinoid X receptor beta","6257","DOWN","RXRB"
"ENSG00000277150",248.271314876836,2.56082125244973,0.658054685016886,3.89150219693979,9.96254869481595e-05,0.0491860481034006,"F8A3","coagulation factor VIII associated 3","474384","UP","F8A3"
"ENSG00000288709",248.271314876836,2.56082125244973,0.658054685016886,3.89150219693979,9.96254869481595e-05,0.0491860481034006,"F8A2","coagulation factor VIII associated 2","474383","UP","F8A2"
"ENSG00000137831",102.774677941268,1.75867487020391,0.454433913118258,3.87003438659792,0.000108820003285699,0.049769605788452,"UACA","uveal autoantigen with coiled-coil domains and ankyrin repeats","55075","UP","UACA"
